Date,Time,Open,High,Low,Close,Volume,OI,weekday,day,week,day_flag,Flag
2020-01-08,09:45:00,31253.5,31354.85,31253.5,31298.85,0,0,Wednesday,8,2,True,1
2020-01-08,10:18:00,31253.1,31298.05,31253.1,31275.15,0,0,Wednesday,8,2,True,1
2020-01-08,10:21:00,31267.2,31292.2,31267.2,31280.5,0,0,Wednesday,8,2,True,1
2020-01-08,14:10:00,31264.75,31325.2,31264.75,31312.45,0,0,Wednesday,8,2,True,1
2020-01-08,14:27:00,31282.0,31286.7,31267.5,31275.6,0,0,Wednesday,8,2,True,1
2020-01-08,14:36:00,31273.35,31301.15,31267.0,31288.0,0,0,Wednesday,8,2,True,1
2020-02-05,14:29:00,31012.5,31041.55,31010.6,31030.65,0,0,Wednesday,5,6,True,1
2020-02-05,15:27:00,31026.15,31037.3,31018.95,31036.75,0,0,Wednesday,5,6,True,1
2020-02-06,09:37:00,30992.05,31055.1,30989.8,31048.95,0,0,Thursday,6,6,False,1
2020-02-06,10:06:00,31024.75,31042.7,31024.75,31036.55,0,0,Thursday,6,6,False,1
2020-02-06,10:15:00,31001.8,31047.75,31000.5,31047.75,0,0,Thursday,6,6,False,1
2020-02-06,10:20:00,31018.6,31044.45,31018.6,31032.7,0,0,Thursday,6,6,False,1
2020-02-06,10:26:00,31016.75,31034.6,31013.35,31032.5,0,0,Thursday,6,6,False,1
2020-02-06,10:34:00,31020.35,31033.1,31017.7,31031.45,0,0,Thursday,6,6,False,1
2020-02-06,11:46:00,30998.8,31047.45,30967.15,31047.45,0,0,Thursday,6,6,False,1
2020-02-10,10:04:00,31027.55,31044.9,31025.85,31041.0,0,0,Monday,10,6,False,1
2020-02-10,10:12:00,31014.45,31029.7,31013.7,31024.9,0,0,Monday,10,6,False,1
2020-02-10,10:17:00,31024.25,31035.5,31022.05,31029.3,0,0,Monday,10,6,False,1
2020-02-10,10:21:00,31021.95,31033.7,31017.0,31028.95,0,0,Monday,10,6,False,1
2020-02-10,10:26:00,31008.6,31030.85,31008.5,31023.75,0,0,Monday,10,6,False,1
2020-02-10,10:52:00,31027.25,31041.5,31020.6,31035.55,0,0,Monday,10,6,False,1
2020-02-10,11:06:00,31023.15,31039.35,31023.15,31038.5,0,0,Monday,10,6,False,1
2020-02-10,11:36:00,31028.8,31029.85,31023.9,31024.25,0,0,Monday,10,6,False,1
2020-02-10,11:41:00,31011.95,31029.55,31011.55,31022.2,0,0,Monday,10,6,False,1
2020-02-10,14:21:00,31017.85,31046.3,31017.85,31046.3,0,0,Monday,10,6,False,1
2020-02-10,15:02:00,31010.3,31050.4,31010.3,31039.6,0,0,Monday,10,6,False,1
2020-03-25,12:35:00,17384.05,17406.8,17381.85,17396.5,0,0,Wednesday,25,13,True,1
2020-04-07,15:11:00,19071.75,19115.65,19069.05,19115.65,0,0,Tuesday,7,14,False,1
2020-04-08,09:31:00,18812.3,18895.1,18810.8,18845.0,0,0,Wednesday,8,15,True,1
2020-04-08,09:39:00,18776.95,18844.05,18761.8,18844.05,0,0,Wednesday,8,15,True,1
2020-04-08,14:10:00,18743.05,18846.6,18743.05,18832.05,0,0,Wednesday,8,15,True,1
2020-04-08,14:15:00,18792.05,18845.2,18792.05,18808.7,0,0,Wednesday,8,15,True,1
2020-04-08,14:34:00,18806.05,18845.45,18794.45,18843.2,0,0,Wednesday,8,15,True,1
2020-04-15,10:49:00,20144.5,20184.1,20137.45,20145.75,0,0,Wednesday,15,16,True,1
2020-04-17,10:30:00,20093.25,20154.1,20059.2,20128.9,0,0,Friday,17,16,False,1
2020-04-17,14:23:00,20114.1,20158.45,20096.8,20150.3,0,0,Friday,17,16,False,1
2020-04-17,14:25:00,20134.95,20194.75,20134.8,20163.65,0,0,Friday,17,16,False,1
2020-04-17,14:41:00,20147.75,20203.7,20146.3,20176.8,0,0,Friday,17,16,False,1
2020-04-22,10:36:00,19317.05,19415.4,19317.05,19401.7,0,0,Wednesday,22,17,True,1
2020-04-22,10:40:00,19319.7,19442.55,19313.8,19442.55,0,0,Wednesday,22,17,True,1
2020-04-22,11:38:00,19347.1,19408.15,19347.1,19408.15,0,0,Wednesday,22,17,True,1
2020-04-22,13:19:00,19388.65,19429.2,19387.95,19417.95,0,0,Wednesday,22,17,True,1
2020-04-22,13:56:00,19381.75,19403.45,19373.55,19401.2,0,0,Wednesday,22,17,True,1
2020-04-22,14:06:00,19378.7,19451.35,19377.95,19446.6,0,0,Wednesday,22,17,True,1
2020-04-29,11:14:00,20748.1,20792.55,20748.1,20785.55,0,0,Wednesday,29,18,True,1
2020-04-29,11:24:00,20772.35,20795.2,20771.85,20792.45,0,0,Wednesday,29,18,True,1
2020-04-29,11:40:00,20774.05,20800.0,20774.05,20795.6,0,0,Wednesday,29,18,True,1
2020-04-29,11:48:00,20762.75,20795.35,20762.75,20794.7,0,0,Wednesday,29,18,True,1
2020-04-29,12:10:00,20779.85,20793.8,20779.85,20789.65,0,0,Wednesday,29,18,True,1
2020-04-29,12:15:00,20779.5,20791.7,20773.95,20791.7,0,0,Wednesday,29,18,True,1
2020-04-29,12:38:00,20790.25,20803.7,20788.3,20798.75,0,0,Wednesday,29,18,True,1
2020-04-29,12:47:00,20784.9,20816.9,20781.05,20815.85,0,0,Wednesday,29,18,True,1
2020-04-29,13:59:00,20775.55,20792.35,20773.45,20787.5,0,0,Wednesday,29,18,True,1
2020-04-29,14:01:00,20776.3,20798.45,20773.45,20798.45,0,0,Wednesday,29,18,True,1
2020-05-06,09:56:00,19204.4,19397.8,19204.4,19384.8,0,0,Wednesday,6,19,True,1
2020-05-11,11:34:00,19256.05,19263.2,19248.0,19257.85,0,0,Monday,11,19,False,1
2020-05-11,11:47:00,19263.55,19269.15,19251.15,19251.25,0,0,Monday,11,19,False,1
2020-05-11,11:58:00,19251.95,19274.7,19247.4,19274.3,0,0,Monday,11,19,False,1
2020-05-11,12:01:00,19254.2,19273.6,19252.0,19264.65,0,0,Monday,11,19,False,1
2020-05-11,12:07:00,19245.75,19265.1,19245.75,19255.25,0,0,Monday,11,19,False,1
2020-05-11,12:09:00,19263.35,19278.5,19261.75,19273.55,0,0,Monday,11,19,False,1
2020-05-11,12:43:00,19244.95,19276.9,19240.75,19264.2,0,0,Monday,11,19,False,1
2020-05-11,12:48:00,19236.85,19272.35,19236.0,19272.35,0,0,Monday,11,19,False,1
2020-05-20,14:23:00,17790.75,17857.3,17790.75,17827.9,0,0,Wednesday,20,21,True,1
2020-05-20,14:54:00,17784.1,17819.9,17784.1,17802.05,0,0,Wednesday,20,21,True,1
2020-05-20,14:59:00,17783.95,17825.9,17783.95,17817.05,0,0,Wednesday,20,21,True,1
2020-05-20,15:10:00,17779.15,17817.2,17773.5,17810.5,0,0,Wednesday,20,21,True,1
2020-05-20,15:15:00,17810.6,17852.2,17810.6,17848.5,0,0,Wednesday,20,21,True,1
2020-05-21,14:30:00,17781.8,17828.2,17781.8,17821.8,0,0,Thursday,21,21,False,1
2020-05-21,14:34:00,17820.35,17820.35,17796.4,17801.65,0,0,Thursday,21,21,False,1
2020-05-22,09:35:00,17740.75,17819.9,17740.75,17798.3,0,0,Friday,22,21,False,1
2020-05-22,10:03:00,17765.0,17909.3,17764.15,17848.5,0,0,Friday,22,21,False,1
2020-05-27,10:43:00,17815.75,17851.2,17811.85,17848.95,0,0,Wednesday,27,22,True,1
