Date,Time,Open,High,Low,Close,Volume,OI,weekday,day,week,day_flag,Wednesday,Flag
2020-01-08,09:17:00,30975.95,30975.95,30929.3,30929.3,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,09:44:00,31189.5,31275.25,31189.5,31252.0,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,09:45:00,31253.5,31354.85,31253.5,31298.85,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-01-08,10:17:00,31230.0,31260.55,31230.0,31254.55,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,10:18:00,31253.1,31298.05,31253.1,31275.15,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-01-08,10:20:00,31274.3,31284.1,31263.9,31263.9,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,10:21:00,31267.2,31292.2,31267.2,31280.5,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-01-08,14:09:00,31255.15,31271.7,31248.7,31268.15,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,14:10:00,31264.75,31325.2,31264.75,31312.45,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-01-08,14:26:00,31266.45,31282.15,31262.45,31282.15,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,14:27:00,31282.0,31286.7,31267.5,31275.6,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-01-08,14:35:00,31243.45,31272.9,31243.45,31270.55,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,0
2020-01-08,14:36:00,31273.35,31301.15,31267.0,31288.0,0,0,Wednesday,8,2,True,2020-01-07 00:00:00,1
2020-02-05,09:17:00,30673.15,30722.1,30657.6,30717.25,0,0,Wednesday,5,6,True,2020-02-04 00:00:00,0
2020-02-05,14:28:00,30969.05,31017.4,30969.05,31010.95,0,0,Wednesday,5,6,True,2020-02-04 00:00:00,0
2020-02-05,14:29:00,31012.5,31041.55,31010.6,31030.65,0,0,Wednesday,5,6,True,2020-02-04 00:00:00,1
2020-02-05,15:26:00,31008.9,31029.05,31007.6,31024.45,0,0,Wednesday,5,6,True,2020-02-04 00:00:00,0
2020-02-05,15:27:00,31026.15,31037.3,31018.95,31036.75,0,0,Wednesday,5,6,True,2020-02-04 00:00:00,1
2020-02-06,09:36:00,30980.9,30991.75,30972.35,30990.55,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,09:37:00,30992.05,31055.1,30989.8,31048.95,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,10:05:00,30989.15,31024.4,30989.15,31021.55,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,10:06:00,31024.75,31042.7,31024.75,31036.55,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,10:14:00,31007.9,31008.1,30993.05,30998.45,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,10:15:00,31001.8,31047.75,31000.5,31047.75,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,10:19:00,31023.5,31027.0,31014.6,31021.05,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,10:20:00,31018.6,31044.45,31018.6,31032.7,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,10:25:00,31018.8,31019.45,31012.7,31015.65,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,10:26:00,31016.75,31034.6,31013.35,31032.5,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,10:33:00,31021.15,31024.9,31019.85,31020.8,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
2020-02-06,10:34:00,31020.35,31033.1,31017.7,31031.45,0,0,Thursday,6,6,False,2020-02-04 00:00:00,1
2020-02-06,11:45:00,30964.55,31010.6,30946.25,31002.0,0,0,Thursday,6,6,False,2020-02-04 00:00:00,0
