Date,Time,Open,High,Low,Close
2019-04-01,09:15:00,30599.95,30592.4,30556.95,30575.35
2019-04-01,10:15:00,30592.275,30616.6,30601.4,30606.9
2019-04-01,11:15:00,30542.055,30573.85,30560.6,30568.05
2019-04-01,12:15:00,30471.765000000003,30478.25,30467.7,30470.4
2019-04-01,13:15:00,30518.47,30525.15,30515.5,30518.2
2019-04-01,14:15:00,30615.014999999996,30643.55,30615.85,30638.25
2019-04-01,15:15:00,30268.535000000003,30320.65,30256.95,30256.95
2019-04-02,09:07:00,30298.900000000005,30450.1,30450.1,30450.1
2019-04-02,10:14:00,30304.385000000002,30313.3,30294.6,30306.1
2019-04-02,11:14:00,30304.500000000007,30280.35,30268.1,30279.45
2019-04-02,12:14:00,30342.825,30347.55,30341.15,30342.85
2019-04-02,13:14:00,30296.934999999998,30297.15,30287.4,30291.75
2019-04-02,14:14:00,30192.039999999997,30233.35,30196.85,30204.1
2019-04-02,15:14:00,30391.079999999998,30342.2,30321.95,30326.75
2019-04-03,09:07:00,30550.944999999996,30440.85,30440.85,30440.85
2019-04-03,10:14:00,30507.510000000002,30535.55,30531.3,30533.1
2019-04-03,11:14:00,30465.120000000003,30476.75,30450.25,30463.7
2019-04-03,12:14:00,30470.7,30479.7,30474.1,30479.6
2019-04-03,13:14:00,30494.170000000002,30518.15,30475.5,30515.25
2019-04-03,14:14:00,30350.2,30368.35,30350.05,30367.4
2019-04-03,15:14:00,30072.46,30080.35,30062.1,30068.75
2019-04-04,09:07:00,30110.21,30147.3,30147.3,30147.3
2019-04-04,10:14:00,30093.934999999998,30106.05,30100.8,30102.55
2019-04-04,11:14:00,30124.734999999997,30142.2,30133.75,30135.65
2019-04-04,12:14:00,30094.739999999998,30031.3,30010.25,30022.6
2019-04-04,13:14:00,30139.315000000002,30170.7,30162.85,30167.1
2019-04-04,14:14:00,29966.469999999994,30071.85,30057.7,30060.8
2019-04-04,15:14:00,29899.299999999996,29896.15,29885.55,29886.75
2019-04-05,09:07:00,30040.739999999998,30002.85,30002.85,30002.85
2019-04-05,10:14:00,30012.609999999997,30037.95,30026.2,30027.55
2019-04-05,11:14:00,29922.695,29957.4,29934.05,29941.8
2019-04-05,12:14:00,29902.935000000005,29935.45,29926.25,29930.9
2019-04-05,13:14:00,29973.82,29936.65,29929.15,29935.5
2019-04-05,14:14:00,29933.939999999995,29949.15,29937.4,29937.4
2019-04-05,15:14:00,30105.984999999997,30051.5,30035.45,30049.0
2019-04-08,09:07:00,30163.954999999998,30201.5,30201.5,30201.5
2019-04-08,10:14:00,30135.025,30145.0,30132.6,30132.6
2019-04-08,11:14:00,30105.969999999994,30101.35,30093.1,30100.25
2019-04-08,12:14:00,30065.114999999998,30073.05,30061.05,30062.95
2019-04-08,13:14:00,30023.07,30024.9,30012.0,30022.25
2019-04-08,14:14:00,29813.54,29840.7,29824.7,29836.6
2019-04-08,15:14:00,29851.704999999998,29846.9,29836.6,29840.05
2019-04-09,09:15:00,29821.835000000003,29938.5,29802.25,29804.0
2019-04-09,10:15:00,29834.335,29858.4,29847.5,29851.1
2019-04-09,11:15:00,29779.75,29794.25,29787.4,29791.35
2019-04-09,12:15:00,29752.004999999997,29750.15,29739.4,29743.95
2019-04-09,13:15:00,29828.305,29832.95,29814.95,29822.0
2019-04-09,14:15:00,30015.05,29993.25,29979.15,29992.0
2019-04-09,15:15:00,30146.97,30146.05,30125.25,30137.05
2019-04-10,09:07:00,30029.814999999995,29916.6,29916.6,29916.6
2019-04-10,10:14:00,30115.420000000002,30112.0,30098.95,30109.75
2019-04-10,11:14:00,30019.45,30013.2,29999.15,30006.85
2019-04-10,12:14:00,30008.02,30012.55,30009.05,30010.7
2019-04-10,13:14:00,30059.145,30072.15,30065.75,30065.75
2019-04-10,14:14:00,29851.864999999998,29901.65,29890.55,29894.15
2019-04-10,15:14:00,29791.109999999997,29809.15,29796.4,29806.9
2019-04-11,09:07:00,29785.939999999995,29841.85,29841.85,29841.85
2019-04-11,10:14:00,29719.645,29713.9,29700.9,29711.95
2019-04-11,11:14:00,29691.305000000004,29675.55,29659.15,29662.3
2019-04-11,12:14:00,29746.920000000002,29741.35,29726.05,29736.45
2019-04-11,13:14:00,29792.045000000002,29784.35,29772.95,29772.95
2019-04-11,14:14:00,29682.93,29671.35,29666.4,29669.3
2019-04-11,15:14:00,29782.625,29784.0,29770.7,29774.05
2019-04-12,09:07:00,29797.935000000005,29780.55,29780.55,29780.55
2019-04-12,10:14:00,29815.840000000004,29803.9,29796.3,29799.6
2019-04-12,11:14:00,29779.32,29792.4,29780.65,29792.0
2019-04-12,12:14:00,29728.35,29729.15,29725.7,29726.75
2019-04-12,13:14:00,29785.51,29802.4,29780.85,29802.4
2019-04-12,14:14:00,29934.340000000004,29912.9,29900.3,29902.05
2019-04-12,15:14:00,29936.420000000002,29960.0,29949.85,29952.9
2019-04-15,09:07:00,29985.395,29983.5,29983.5,29983.5
2019-04-15,10:14:00,30121.445,30108.3,30102.65,30107.15
2019-04-15,11:14:00,30117.5,30121.95,30113.7,30115.1
2019-04-15,12:14:00,30140.46,30157.9,30151.95,30152.95
2019-04-15,13:14:00,30122.79,30134.75,30124.65,30125.55
2019-04-15,14:14:00,30119.534999999996,30135.4,30118.45,30118.45
2019-04-15,15:14:00,30096.325,30106.15,30093.1,30104.3
2019-04-16,09:07:00,30278.75,30236.25,30236.25,30236.25
2019-04-16,10:14:00,30400.175000000007,30395.65,30389.1,30393.9
2019-04-16,11:14:00,30390.434999999998,30391.45,30384.3,30385.85
2019-04-16,12:14:00,30371.299999999996,30384.45,30375.05,30376.65
2019-04-16,13:14:00,30491.114999999998,30498.95,30492.8,30498.3
2019-04-16,14:14:00,30535.920000000002,30544.8,30534.65,30538.95
